qst_deliver_message|{s13}에게 전령 보내기
qst_lend_surgeon|군의관 {s3}을 {s1}에게 파견
qst_lend_surgeon_text|숙련된 군의관인 {s3}(을)를 {s1}에게 잠시 빌려줍니다.
qst_follow_army|{s9}의 군대에 종군하라
qst_report_to_army|총사령관 {s13}에게 보고하라
qst_deliver_cattle_to_army|군수용 소 {reg3}마리를 {s13}에게 보급
qst_join_siege_with_army|{s14}의 공성전에 참여하라
qst_screen_army|{s13} 군대의 전방 엄호
qst_scout_waypoints|{s13}, {s14}, {s15} 정찰
qst_rescue_lord_by_replace|{s14}에 갇힌 {s13} 구출
qst_deliver_message_to_prisoner_lord|{s14}에 투옥된 {s13}에게 서신 전달
qst_duel_for_lady|{s13}에게 무력 대결 도전
qst_duel_courtship_rival|구애 경쟁자 {s13}에게 결투 도전 (선택)
qst_duel_avenge_insult|모욕에 대한 복수로 {s13}에게 결투 도전
qst_move_cattle_herd|소 떼를 {s13}(으)로 배달
qst_move_cattle_herd_text|{s10}의 조합장이 당신에게 소 떼를 {s13}으로 배달해 달라고 요청하였습니다.
qst_escort_merchant_caravan|상단을 {s8}(으)로 호위
qst_escort_merchant_caravan_text|상인단을 {s8} 도시까지 호위하여 인도하십시오.
qst_deliver_wine|{s6} {reg5}개를 {s4}(으)로 배달
qst_deliver_wine_text|{s3}의 {s9}(이)가 {s6} {reg5}개를 7일 이내에 {s4}의 여관으로 배달해 달라고 요청했습니다.
qst_troublesome_bandits|골칫거리 도적 소탕
qst_troublesome_bandits_text|{s4}의 {s9}(이)가 도시 근처에서 암약하는 골칫거리 도적들을 추적해 달라고 요청했습니다.
qst_kidnapped_girl|도적에게서 소녀 구출
qst_kidnapped_girl_text|{s4}의 조합장이 도적에게 납치된 소녀의 몸값으로 {reg12} 페닝을 주었습니다. {s3} 근처의 도적들을 만나 몸값을 지불한 뒤, 소녀를 {s4}(으)로 안전하게 데려오십시오.
qst_persuade_lords_to_make_peace|두 명의 영주가 평화 서약을 하도록 설득하라
qst_persuade_lords_to_make_peace_text|{s4}의 조합장은 당신이 {s12}와 {s13}의 방해를 막아 {s15}와 {s14} 사이의 평화 협정을 성사시킨다면 {reg12} 페닝을 주겠다고 약속했습니다. {s12}와 {s13}를 설득하거나 협정이 끝날 때까지 생포해야 합니다.
qst_deal_with_looters|약탈자 무리 처단
qst_deal_with_looters_text|{s4}의 조합장은 도시 근처의 약탈자들을 처리하고 회수한 물자들을 가져와 달라고 요청했습니다.
qst_deal_with_night_bandits|야간 도적 습격 방어
qst_deliver_grain|{s3} 마을에 곡물 보급
qst_deliver_grain_text|{s3} 마을의 지도자가 밀 {reg5}자루를 구해와 달라고 요청했습니다.
qst_deliver_cattle|{s3} 마을에 소 {reg5}마리 보급
qst_deliver_cattle_text|{s3} 마을의 지도자가 소 {reg5}마리를 가져다 달라고 요청했습니다.
qst_train_peasants_against_bandits|도적에 대비해 {s13} 마을 농민들 훈련
qst_eliminate_bandits_infesting_village|{s7} 마을의 도적 떼 소탕
qst_eliminate_bandits_infesting_village_text|{s7}에서 온 마을 사람이 자기 마을에 둥지를 튼 도적들로부터 마을을 구해달라고 간청했습니다.
qst_visit_lady|귀부인 방문
qst_formal_marriage_proposal|정식 청혼
qst_obtain_liege_blessing|주군의 축복 얻기
qst_wed_betrothed|약혼자와 결혼
qst_wed_betrothed_female|약혼자와 결혼
qst_join_faction|{s1}에게 충성 맹세
qst_join_faction_text|{s1}을(를) 찾아서 그에게 당신의 충성을 서약하고, 가신이 되십시오.
qst_rebel_against_kingdom|{s13}의 {s14} 왕위 찬탈 지원
qst_consult_with_minister|대신의 조언을 듣다
qst_consult_with_minister_text|현재 {s12}에 머물고 있는 당신의 대신 {s11}과 왕국 운영에 대해 상의하십시오.
qst_organize_feast|연회 준비
qst_organize_feast_text|현재 {s12}에 있는 당신의 배우자 {s11}에게 연회에 필요한 물자들을 가져다주십시오.
qst_resolve_dispute|분쟁 중재
qst_resolve_dispute_text|{s11}와 {s12} 사이의 갈등을 해결하십시오.
qst_offer_gift|선물 전달
qst_offer_gift_text|{s10}에게 (~{reg4?her:his} {s11}, {s12} 하기 위해)선물을 전달하십시오.
qst_denounce_lord|영주 공개 비난
qst_denounce_lord_text|{s11}(을)를 사람들 앞에서 공개적으로 비난하십시오.
qst_intrigue_against_lord|영주에 대한 음모 가담
qst_intrigue_against_lord_text|개인적인 자리에서 {s11}(을)를 비판하여 입지를 좁히십시오.
qst_track_down_bandits|도적들을 추적하라
qst_track_down_bandits_text|{s4}의 {s9}은(는) 당신에게 도시 근처 도로에서 여행객을 공격한 {s6}을(를) 찾아달라고 요청했습니다.
qst_track_down_provocateurs|선동자를 추적하라
qst_track_down_provocateurs_text|{s4}의 {s9}은(는) 당신에게 {s5}와 {s6}의 국경 분쟁을 만들도록 고용된 선동자 무리를 추적해 달라고 요청하였습니다.
qst_retaliate_for_border_incident|국경 분쟁에 대한 보복 공격
qst_retaliate_for_border_incident_text|{s4}의 {s9}(이)가 {s7} 세력의 {s5}(을)를 전투에서 격파하여 {s8} 지역의 긴장을 전쟁으로 국면 전환하라고 요청했습니다.
qst_raid_caravan_to_start_war|중립국 상단 습격으로 전쟁 유도
qst_cause_provocation|상대 국가를 도발하여 선제 공격 유도
qst_rescue_prisoner|포로 구출 또는 몸값 협상
qst_destroy_bandit_lair|도적 은신처 파괴
qst_destroy_bandit_lair_text|{s4}의 {s9}(이)가 이 지역에 있는 {s6}(을)를 찾아내 파괴해 달라고 요청했습니다.
qst_kennemer_jarl|복수: 켄네머의 야를과 대면
qst_kennemer_jarl_missions|복수: 야를을 위한 업무
qst_kennemer_mission_1|야를의 임무: 수도원에서의 재판
qst_kennemer_mission_2|야를의 임무: 티아데르트 처단
qst_kennemer_mission_3|야를의 임무: 국왕 암살
qst_reginhard_donations|레긴하르트의 부탁: 전쟁 희생자들을 위한 기부
qst_recruit_an_army|야를의 임무: 전사 모집
qst_doccinga_assault|바이킹의 습격: 스벤의 습격으로부터 독싱가를 구하라
qst_doccinga_interrogation|바이킹의 습격: 바이킹 포로를 심문하다
qst_getting_ship|바이킹의 습격: 스벤의 배와 소녀
qst_notes_companions|동료에 대한 기록
qst_notes_global|여정의 기록
qst_notes_frisa|프리지아 견문록
qst_notes_danmork|덴마크 견문록
qst_notes_englaland|잉글랜드 견문록
qst_sven_lair|복수: 늑대의 소굴
qst_danmork_protection|복수: 국왕의 비호
qst_revenge_sigurd|복수: '눈 속의 뱀' 시구르드와의 접선
qst_collect_smen|시구르드의 임무: 시구르드를 위한 군대 모집
qst_bodo_letter|복수: '가장 중요한 편지' 되찾기
qst_the_holmgang|홀름강: 전사와의 결투
qst_the_fleet|복수: 앵글리아 침공
qst_sven_traitor|복수: 반역자 스벤
qst_wessex_foragers|공성: 색슨족 정찰대
qst_the_messengersn|공성: 전령
qst_the_alliance|복수: 동맹 체결
qst_welsh_and_pictish|정복자: 대의를 위한 복무
qst_cathach_colum|바이킹의 길: 콜룸 카일의 시편
qst_entregando_pieles|바이킹의 길: 가죽 무역
qst_revenge_exchange|복수: 농장
qst_ulf_testigo|복수: 농부와 야를
qst_the_thing|복수: 의회 집결
qst_douar_an_enez|복수: 두아르-안-에네즈 탐사
qst_aescesdun|전투: 에셰던 전투
qst_svenbn_final|복수: '황소목' 스벤
qst_old_roman|하드리아누스의 장벽: 기근 구제
qst_vc_menu|바이킹 컨퀘스트 메뉴 시스템
qst_vc_wounds|바이킹 컨퀘스트 부상 시스템
qst_sea_battle_spawn|해상 전투 스폰 시스템
qst_team_0_ships|해상 전투 스폰 시스템
qst_team_1_ships|해상 전투 스폰 시스템
qst_blank_quest_2|주교를 {s14}(으)로 호위
qst_blank_quest_2_text|{s11}(이)가 {s22}에서 {s14}까지 주교를 호위해 달라고 요청했습니다.
qst_blank_quest_3|{s14} 수도원 습격
qst_blank_quest_3_text|{s11}(이)가 {s34} 인근의 {s14} 수도원을 약탈하고 {reg33} 페닝을 가져오라고 요청했습니다.
qst_blank_quest_4|주인 없는 패잔병 소탕
qst_blank_quest_4_text|{s8}(이)가 자신의 마을인 {s9}(을)를 약탈한 주인 없는 패잔병들을 추적해 달라고 요청했습니다.
qst_blank_quest_6|여성 {reg5}명 생포 후 {s3}(으)로 이송
qst_blank_quest_6_text|{s3} 마을의 이장이 여성 {reg5}명을 포로로 잡아 마을로 데려와 달라고 요청했습니다.
qst_blank_quest_7|탈주 노예 {s3}(으)로 송환
qst_blank_quest_7_text|{s3} 마을의 지도자가 달아난 노예를 찾아 마을로 복귀시켜 달라고 요청했습니다.
qst_blank_quest_9|벌꿀술 {reg33}잔을 {s3}(으)로 전달
qst_blank_quest_9_text|{s3}의 사제가 벌꿀술 {reg33}잔을 가져와 달라고 요청했습니다.
qst_blank_quest_10|{s3}의 {s9}에게서 도난당한 {s13} 회수
qst_blank_quest_10_text|{s3}의 {s9}(이)가 도난당한 {s13}(을)를 되찾아 달라고 요청했습니다. {s10}(을)를 조사하십시오.
qst_blank_quest_11|{s33} {reg33}개를 {s3}(으)로 운반
qst_blank_quest_11_text|{s3}의 {s9}(이)가 {s33} {reg33}개를 가져와 달라고 요청했습니다.
qst_blank_quest_12|목재 {reg33}묶음을 {s3}(으)로 배달
qst_blank_quest_12_text|{s3}의 수도원장이 목재 {reg33}묶음을 가져와 달라고 요청했습니다.
qst_blank_quest_13|과거로부터의 그림자
qst_blank_quest_13_text|{s11}(이)가 {s33}에 있는 것으로 알려진 그녀의 옛 연인(유령)을 처리해 달라고 요청했습니다.
qst_blank_quest_14|암살 음모 폭로
qst_blank_quest_14_text|누군가 당신을 살해하려 했습니다. {s3}에서 암살자의 접선책을 만나 배후를 알아내십시오.
qst_blank_quest_15|암살 음모 폭로(2)
qst_blank_quest_15_text|암살을 지시한 자가 귀족 {s9}(으)로 밝혀졌습니다. 이제 그를 대면하여 대가를 치르게 할 시간입니다.
qst_blank_quest_16|{s17} {reg25}개를 {s11}에게 전달
qst_blank_quest_16_text|{s11}(이)가 {s17} {reg25}개를 가져다 달라고 요청했습니다.
qst_blank_quest_17|식료품(치즈와 와인)을 {s11}에게 전달
qst_blank_quest_17_text|{s11}(이)가 치즈 2덩이와 와인 {reg25}병을 가져와 달라고 요청했습니다.
qst_blank_quest_18|{s3}에게 서신 전달
qst_blank_quest_18_text|{s11}(이)가 자신의 연인인 {s3}에게 편지를 전해 달라고 요청했습니다.
qst_blank_quest_19|모든 스칸디나비아 노스인의 왕이 되다
qst_blank_quest_20|모든 브리튼 알바인의 왕이 되다
qst_blank_quest_21|모든 에리우인의 왕이 되다
qst_blank_quest_22|모든 앵글리아의 브레튼왈다가 되다
qst_blank_quest_23|마지막 투아하 데 다난
qst_blank_quest_24|뱀
qst_blank_quest_25|프레이스베르타흐의 자손들
qst_blank_quest_26|말 브레살의 행방
qst_blank_quest_27|에리우 견문록
qst_collect_men|복수: 독싱가 방문
qst_learn_where_merchant_brother_is|소 {reg3}마리를 {s13}에게 전달
qst_save_relative_of_merchant|도적 은신처 습격
qst_save_town_from_bandits|도적들로부터 도시 구출
qst_quests_end|임무 완료
